feature,gain_A,gain_share_A,split_A,weight_share
_menu_category_enc,24.31281280517578,0.0007510530462367168,179.0,0.003812160579278032
_season_enc,43.305999755859375,0.0013377762292498161,42.0,0.0008944734320093707
_solar_term_enc,39.05256652832031,0.0012063823832104297,591.0,0.01258651900756043
avg_sales_all_days,47.251285552978516,0.0014596510176564453,309.0,0.006580768821211799
avg_sales_nonzero_days,36.159149169921875,0.0011170011199862619,339.0,0.007219678415504206
avg_sales_nonzero_monthly,2819.416748046875,0.08709529227242013,1438.0,0.03062506655308274
avg_sales_nonzero_seasonly,302.56475830078125,0.009346601943042218,509.0,0.010840166116494515
avg_sales_nonzero_weekday,146.53993225097656,0.004526800884552046,978.0,0.02082845277393249
brunch_flag,3.3072986602783203,0.00010216657173816816,1.0,2.1296986476413588e-05
date_weight,98.9998779296875,0.0030582294402532553,1040.0,0.022148865935470132
day,39.723751068115234,0.001227116108972208,2006.0,0.042721754871685655
days_since_last_sale,77.94303894042969,0.0024077574774357137,662.0,0.014098605047385795
delta_1_7,29.5459041595459,0.0009127097510544334,867.0,0.01846448727505058
demand_volatility,34.30225372314453,0.001059639308622818,810.0,0.017250559045895005
dow,46.12828063964844,0.0014249599982398928,935.0,0.019912682355446704
dow_cos,52.675621032714844,0.0016272154915209663,275.0,0.0058566712810137365
dow_sin,45.020240783691406,0.001390731268070463,481.0,0.010243850495154935
exp_item_dow_mean,36.73850631713867,0.0011348981833068643,904.0,0.019252475774677882
exp_item_mean,40.23065948486328,0.001242775140842046,731.0,0.015568097114258333
exp_shop_dow_mean,40.47683334350586,0.0012503797577129495,1355.0,0.028857416675540412
hallroom_flag,39.98871612548828,0.0012353012093586162,102.0,0.002172292620594186
is_after_holiday,33.338462829589844,0.001029866608428073,111.0,0.002363965498881908
is_before_holiday,50.89029312133789,0.001572064490395928,207.0,0.0044084762006176125
is_holiday,125.399658203125,0.003873751508934846,388.0,0.008263230752848473
is_sandwich,60.642086029052734,0.0018733095099787574,60.0,0.0012778191885848152
item_dow_idx,47.41011428833008,0.001464557434962892,1628.0,0.03467149398360132
item_id,41.7420768737793,0.0012894647050309689,1601.0,0.03409647534873815
lag_1,662.6888427734375,0.020471283107404176,1145.0,0.024385049515493556
lag_14,27.259614944458008,0.0008420834317827955,820.0,0.01746352891065914
lag_28,26.23348045349121,0.000810384860273821,840.0,0.017889468640187412
lag_7,79.51608276367188,0.002456350758878591,980.0,0.020871046746885315
menu_rank,52.86880874633789,0.001633183300427931,416.0,0.008859546374188053
month,31.36137580871582,0.0009687919297555008,120.0,0.0025556383771696304
month_cos,37.36676788330078,0.0011543059649930317,137.0,0.0029176871472686616
month_score,48.4954948425293,0.0014980861911002273,1200.0,0.025556383771696306
month_sin,58.200504302978516,0.0017978860117723481,220.0,0.0046853370248109896
nonzero_rate_28,57.45067596435547,0.0017747228811880675,817.0,0.0173996379512299
quarter_sum,30.192293167114258,0.0009326775119662765,978.0,0.02082845277393249
roll_max_14,10519.3984375,0.3249573097268378,315.0,0.00670855074007028
roll_max_28,134.481201171875,0.004154291673738702,430.0,0.009157704184857843
roll_max_7,14403.5546875,0.44494373034374224,418.0,0.00890214034714088
roll_mean_14,77.4315414428711,0.0023919566831482647,707.0,0.015056969438824406
roll_mean_28,31.82038688659668,0.000982971353216756,634.0,0.013502289426046215
roll_mean_7,362.09423828125,0.011185541667478413,923.0,0.019657118517729742
roll_min_14,33.08439254760742,0.0010220180612126519,156.0,0.0033223298903205197
roll_min_28,25.482805252075195,0.0007871955690438965,111.0,0.002363965498881908
roll_min_7,71.71294403076172,0.0022153020919669503,259.0,0.005515919497391119
roll_std_14,60.706233978271484,0.001875291119965913,706.0,0.015035672452347992
roll_std_28,223.79649353027344,0.0069133522126746914,663.0,0.014119902033862208
roll_std_7,30.86005210876465,0.0009533054167380175,791.0,0.01684591630284315
season_sum,33.726707458496094,0.001041859968207613,943.0,0.020083058247258014
shop_dow_idx,29.926156997680664,0.0009244562344708021,1309.0,0.027877755297625387
solar_term_sum,33.61101531982422,0.0010382860940585613,1072.0,0.022830369502715366
time_idx,47.61761474609375,0.0014709673823493888,1687.0,0.035928016185709725
trend_14_7,31.86665916442871,0.0009844007614674814,1714.0,0.03650303482057289
trend_7_1,32.708824157714844,0.0010104162862325477,1600.0,0.03407517836226174
var_sales_nonzero_days,65.05792236328125,0.0020097201901037275,443.0,0.009434565009051219
week,51.75020980834961,0.001598628387073175,1257.0,0.02677031200085188
weekday,41.7949333190918,0.0012910975064095384,50.0,0.0010648493238206793
weekday_score,248.9884796142578,0.007691564015675189,1794.0,0.038206793738685976
woy,62.06459426879883,0.0019172525598973047,165.0,0.0035140027686082417
woy_cos,53.19282531738281,0.0016431925755646466,729.0,0.015525503141305505
woy_sin,52.02473068237305,0.0016071086785286737,1013.0,0.021573847300606963
year,19.550188064575195,0.0006039296406409256,34.0,0.000724097540198062
zero_sales_day_ratio,34.84868621826172,0.0010765192884634527,665.0,0.014162496006815036
업장_id,43.73814392089844,0.0013511257003359799,145.0,0.00308806303907997
